title,text,label,date,url
U.N. peacekeepers in Mali withdraw from two bases in the north as fighting intensifies,"BAMAKO, Mali (AP) — United Nations peacekeepers started departing from two bases in northern Mali Monday as part of a forced withdrawal from the country amid increasing insecurity and a rise in attacks by Islamic extremists.  The U.N. mission said it wanted to complete its departure quickly from two camps in the Kidal region, Tessalit and Aguelhok. Attacks in northern Mali have more than doubled since the peacekeepers completed the first phase of their withdrawal in August.  “In view of the rapidly deteriorating security conditions for the lives of hundreds of peacekeepers … the mission is doing its utmost to complete this process as soon as possible, including if necessary, accelerating its withdrawal from the Kidal camp, originally scheduled for mid-November,” a UN statement said.  Earlier this year, Mali’s military junta ordered the U.N. mission to leave the country, which has struggled to contain an Islamic extremist insurgency since 2012. The operation in Mali became one of the most dangerous in the world, with more than 150 peacekeepers killed since it began operations in 2013.  READ MORE: Mali military camp attacked a day after al-Qaida-linked assault kills 49 civilians and 15 soldiers  Violence is spiking between ethnic Tuareg rebels, known as the Permanent Strategic Framework for Peace, Security and Development (CSP-PSD) and Mali’s military. Analysts say the uptick signals the breakdown of a 2015 peace agreement signed between the government and the rebels who once drove security forces out of northern Mali as they sought to create the state of Azawad.  Earlier this month the rebels said they captured another military base from the army in the north.  On Monday, Mali’s military said on X, formerly Twitter, that its aircraft came under heavy fire as it approached Tessalit’s airport. The army neutralized the enemy and the aircraft was able to land and take off without problems, it said.  Compounding the rebel violence are increasing attacks by Islamic extremists linked to al-Qaida and the Islamic State group, which have wracked the country for a decade and led to two coups.  Extremist rebels were forced from power in the West African nation’s northern cities in 2013 with the help of a French-led military operation. But the insurgents regrouped in the desert and began launching attacks on the Malian army and its allies.  The U.N. peacekeepers came in a few months later in what has become one of the most dangerous U.N. missions in the world.",1,2023-10-17,https://www.pbs.org/newshour/world/u-n-peacekeepers-in-mali-withdraw-from-two-bases-in-the-north-as-fighting-intensifies?
Wall Street indexes rally after Fed cuts interest rates,"Dec 10 (Reuters) - Wall Street ended higher on Wednesday, after the Federal Reserve cut interest rates by a quarter percentage point as expected and investors bet on further easing down the road even as the central bank signaled that it will put further cuts on pause for now. The central bank said that before its next policy change it would look ahead for clearer signals about the direction of the job market and inflation that ""remains somewhat elevated.""  But projections after the Fed's two-day meeting showed median expectations for another quarter-point cut in 2026, in line with expectations at the September meeting. And policymakers raised estimates for 2026 GDP growth to 2.3% from 1.8% and maintained expectations for a 4.4% unemployment rate at the end of next year. In his press conference Fed Chair Jerome Powell declined to provide guidance on whether there will be another rate cut in the near future. However, investors garnered some hope for easing from his comments that the labor market has significant downside risks and that the central bank doesn't want its policy to push down on job creation.  ""The market may have found some solace in the Powell's downbeat labor market discussion - a bad news is good news situation, to support more cuts next year,"" said Lindsey Bell, chief investment strategist at 248 Ventures in Charlotte, North Carolina adding that U.S. Treasury yields ""lost some steam as Powell spoke, which helps support stock upside."" The market had been muted ahead of the statement as investors, while widely expecting a cut, were concerned the Fed would take a more hawkish tone on the policy outlook. And even before Powell's comments some investors were eyeing more potential for rate cuts due to labor market concerns. ""The statement emphasized weakness in the labor market as the principal rationale for the 25 basis point cut, and this detail is what the market has picked up on, suggesting the Fed could continue easing policy, even though the expectations for easing in 2026 haven’t changed with one 25 basis point priced in,"" said Michael Rosen, chief investment officer, Angeles Investments.",1,2025-12-10,https://www.reuters.com/business/wall-st-futures-slip-ahead-fed-meeting-2026-cuts-doubt-2025-12-10/
What can we expect as fire season ramps up in California?,"Officials and scientists say the state has had a mild season thus far, but fires are expected to surge in drier months.  As the United States enters its hottest months of the year, fire officials and scientists say they are preparing for wildfire activity to ramp up.  While the US fire season typically runs from late spring until early autumn, experts say the most intense fires tend to erupt in months like July and August, when temperatures are high and vegetation is dried out.  California has become emblematic of the scope and intensity of those wildfires. The western state tallied 8,110 blazes in 2024 alone — more than any other part of the country.  Just last week, the insurance company Gallagher Re found that two blazes this year in the Los Angeles area — the Eaton and Palisades fires — were responsible for nearly $40bn in insured losses alone. An estimated 30 people died in those fires.  That toll has put California in the crosshairs of a nationwide debate about how best to deal with wildfires and what the state and federal roles should be.  Earlier this month, on the six-month anniversary of the deadly infernos, US Senator Alex Padilla called on the federal government to invest more in fire preparedness, rather than scale back, as President Donald Trump has suggested he may do.  “We’re entering the next peak fire season. Fire season is year-round in California, but peak fire season is just beginning,” Padilla said.  He pointed out that the Los Angeles conflagrations sparked in the relatively mild month of January: “These fires took place in wintertime, not in the hot dry months of summer.”  That, experts say, is an indication of the potential scale of California’s wildfires, even under less-than-ideal circumstances.  Potential for a ‘fairly severe’ season Scientists say that California’s wildfires have been fairly subdued so far this year, but they are expected to pick up as summer progresses into August, especially in parts of the state that have struggled with drought in recent months.  “We’ve had a number of small-to-medium-sized fires, but nothing too startling so far,” Max Moritz, a wildfire specialist at the University of California at Santa Barbara (UCSB), told Al Jazeera in a recent phone call.  “But that’s kind of where we’d expect to be at this point in the season. And we’ve seen some factors that point to what could be a fairly severe fire season as we enter the drier months.”  Scientists are quick to stress that wildfire seasons can be affected by a variety of factors and are difficult to predict.  Events associated with wildfire, such as periods of high winds, extreme heat or lightning storms, are themselves mercurial. Acts of human error or negligence, like a downed power line or a failure to properly extinguish a campfire, can also set a landscape ablaze.  Once a burn starts, elements like wind strength and firefighter access can make the difference between a fire that is quickly snuffed out and one that grows larger and more intense.  “It’s really hard to come up with a single rationale for why some seasons are so much more intense than others,” said Scott Stephens, a professor of fire science and forest policy at the University of California, Berkeley.  The fire seasons of 2020 and 2021 in California, for example, saw record-breaking fires that spread across enormous portions of land.  The next several years were, by comparison, fairly tame, although scientists say that factors such as climate change have contributed to fire seasons that see higher-than-average levels of activity.  But there are some indicators that scientists and fire officials look to as clues, such as the prevalence of drought and the level of moisture present in soil and plant life. While many catalysts can spark a fire, how quickly it spreads and how unstoppable it becomes is largely a matter of fuel, in the form of thick, dry vegetation.  Stephens says that southern California’s chaparral landscape — typified by low-lying shrubs like sage — is especially prone to fire, and it has had a “very dry” year.  The US Drought Monitor says that about 23 percent of the state is currently experiencing conditions ranging from severe to exceptional drought, with many of those areas concentrated in southern California.  California’s largest fire of the year thus far, the Madre Fire, took place in San Luis Obispo County in central California and reached about 80,000 acres (32,400 hectares), according to the state agency Cal Fire.  That blaze is more than 95 percent contained, the term fire officials use to reference the portion of a fire effectively surrounded by protective lines built to stop it from spreading.",1,2025-07-23,https://www.aljazeera.com/news/2025/7/23/what-can-we-expect-as-fire-season-ramps-up-in-california?
PAHO issues new epidemiological alert amid rising yellow fever cases in the Americas,"Washington, D.C., March 31, 2025 (PAHO) – The Pan American Health Organization (PAHO) has issued a new epidemiological alert in response to an increase in yellow fever cases across the Americas during the first months of 2025. The number of confirmed human cases as of March 22 has more than doubled compared to the total recorded in all of 2024, raising concerns about a potential expansion of the disease.  In the first almost three months of 2025, 131 human cases have been confirmed, with 53 deaths. In comparison, 61 cases were reported throughout 2024, 30 of which were fatal. The cases are located in Bolivia (1 case, 1 death), Brazil (81 cases, 31 deaths), Colombia (31 cases, 13 deaths), and Peru (18 cases, 8 deaths), with cases reported beyond the traditionally affected Amazon region.  Particularly concerning are the new cases reported since October 2024 in the department of Tolima, Colombia, which indicates the virus is appearing in areas not previously affected in past years. In these regions, activities such as agriculture represent a risk factor for exposure to the virus. The increase in cases and their geographic spread highlights the urgent need to strengthen surveillance, prevention, and control measures to contain the disease.  In addition, the epidemiological situation in the state of São Paulo, Brazil, with 34 cases and 19 deaths, is worrying due to its proximity to densely populated urban centers, increasing the risk of a larger outbreak.  Yellow fever is a serious viral disease transmitted by mosquitoes, which can be fatal but is preventable through vaccination. The vast majority of the cases detected have involved individuals who were not vaccinated.  In an alert issued on March 27, PAHO calls for intensifying vaccination efforts in at-risk areas, aiming for coverage rates above 95%. Vaccination is the most effective tool to combat the disease. PAHO also recommends that countries review their vaccine stocks, ensure rapid response plans for outbreaks, and make sure travelers to endemic areas are informed and vaccinated.  Since the yellow fever epidemic in Brazil between 2016 and 2018, the public health threat of the disease has resurfaced in the Americas. The yellow fever virus remains in a sylvatic cycle between specific species of mosquitoes and non-human primates in 13 countries and territories of the region. Since 1960, it has caused 9,591 human cases and 3,444 deaths.  In February, based on the increase in cases across several countries during the last months of 2024 and the first weeks of 2025, PAHO published a risk assessment in which it considered the risk of yellow fever outbreaks in the region to be high.  PAHO will continue to monitor the situation and support countries in adopting the best strategies for preventing and controlling yellow fever.",1,2025-03-31,https://www.paho.org/en/news/31-3-2025-paho-issues-new-epidemiological-alert-amid-rising-yellow-fever-cases-americas?
NASA releases close-up pictures of interstellar comet 3I/Atlas,"CAPE CANAVERAL, Fla. (AP) — NASA unveiled close-up pictures on Wednesday of the interstellar comet that’s making a quick one-and-done tour of the solar system.  Discovered over the summer, the comet known as 3I/Atlas is only the third confirmed object to visit our corner of the cosmos from another star. It zipped harmlessly past Mars last month.  Three NASA spacecraft on and near the red planet zoomed in on the comet as it passed just 18 million miles (29 million kilometers) away, revealing a fuzzy white blob. The European Space Agency’s two satellites around Mars also made observations.  Other NASA spacecraft will remain on the lookout in the weeks ahead, including the Webb Space Telescope. At the same time, astronomers are aiming their ground telescopes at the approaching comet, which is about 190 million miles (307 million kilometers) from Earth. The Virtual Telescope Project’s Gianluca Masi zoomed in Wednesday from Italy.  The comet is visible from Earth in the predawn sky by using binoculars or a telescope.  “Everyone that is in control of a telescope wants to look at it because it’s a fascinating and rare opportunity,” said NASA’s acting astrophysics director, Shawn Domagal-Goldman.  The closest the comet will come to Earth is 167 million miles (269 million kilometers) in mid-December. Then it will hightail it back into interstellar space, never to return.  READ MORE: NASA says new interstellar comet it spotted will keep a safe distance from Earth  ESA’s Juice spacecraft, bound for Jupiter, has been training its cameras and scientific instruments on the comet all month, particularly after it made its closest pass to the sun. But scientists won’t get any of these observations back until February because Juice’s main antenna is serving as a heat shield while it’s near the sun, limiting the flow of data.  Named for the telescope in Chile that first spotted it, the comet is believed to be anywhere from 1,444 feet (440 meters) across to 3.5 miles (5.6 kilometers) across. Observations indicate that the exceptionally fast-moving comet may have originated in a star system older than our own — “which gives me goose bumps to think about,” said NASA scientist Tom Statler.  “That means that 3I/Atlas is not just a window into another solar system, it’s a window into the deep past and so deep in the past that it predates even the formation of our Earth and our sun,” Statler told reporters.  NASA officials were quick to dispel rumors that this friendly solar system visitor, as they called it, might be an alien ship of some sort. They said that because of the federal government shutdown, they weren’t able to respond to all the theories cropping up in recent weeks.  The space agency is always on the hunt for life beyond Earth, “but 3I/Atlas is a comet,” said NASA’s associate administrator, Amit Kshatriya.",1,2025-11-20,https://www.pbs.org/newshour/science/nasa-releases-close-up-pictures-of-interstellar-comet-3i-atlas?
"Mediterranean diet offsets genetic risk for dementia, study finds","New research suggests that following a Mediterranean-style diet may help offset a person’s genetic risk for developing Alzheimer’s disease.  The study, published in Nature Medicine and led by investigators from Mass General Brigham, Harvard T.H. Chan School of Public Health, and the Broad Institute of MIT and Harvard, found that people at the highest genetic risk for Alzheimer’s disease who followed a Mediterranean diet — rich in vegetables, fruits, nuts, whole grains, and low in red and processed meats — showed slower cognitive decline as well as a greater reduction in dementia risk than those at lower genetic risk.  “One reason we wanted to study the Mediterranean diet is because it is the only dietary pattern that has been causally linked to cognitive benefits in a randomized trial,” said study first author Yuxi Liu, a research fellow in the Department of Medicine at Brigham and Women’s Hospital and a postdoctoral fellow at the Harvard Chan School and the Broad. “We wanted to see whether this benefit might be different in people with varying genetic backgrounds, and to examine the role of blood metabolites, the small molecules that reflect how the body processes food and carries out normal functions.”  “These findings suggest that dietary strategies could help reduce the risk of cognitive decline and stave off dementia by broadly influencing key metabolic pathways.”   Yuxi Liu, study’s first author Over the last few decades, researchers have learned more about the genetic and metabolic basis of Alzheimer’s disease and related dementias. These are among the most common causes of cognitive decline in older adults. Alzheimer’s disease is known to have a strong genetic component, with heritability estimated at up to 80 percent.  One gene in particular, apolipoprotein E, or APOE, has emerged as the strongest genetic risk factor for sporadic Alzheimer’s disease — the more common type develops later in life and is not directly inherited in a predictable pattern. People who carry one copy of the APOE4 variant have a three- to fourfold higher risk of developing Alzheimer’s. People with two copies of the APOE4 variant have a 12-fold higher risk of Alzheimer’s than those without.  To explore how the Mediterranean diet may reduce dementia risk and influence blood metabolites linked to cognitive health, the team analyzed data from 4,215 women in the Nurses’ Health Study, following participants from 1989 to 2023 (average age 57 at baseline). To validate their findings, the researchers analyzed similar data from 1,490 men in the Health Professionals Follow-Up Study, followed from 1993 to 2023.  Researchers evaluated long-term dietary patterns using food frequency questionnaires and examined participants’ blood samples for a broad range of metabolites. Genetic data were used to assess each participant’s inherited risk for Alzheimer’s disease. Participants were then followed over time for new cases of dementia. A subset of 1,037 women underwent regular telephone-based cognitive testing.  They found that the people following a more Mediterranean-style diet had a lower risk of developing dementia and showed slower cognitive decline. The protective effect of the diet was strongest in the high-risk group with two copies of the APOE4 gene variant, suggesting that diet may help offset genetic risk.  “These findings suggest that dietary strategies, specifically the Mediterranean diet, could help reduce the risk of cognitive decline and stave off dementia by broadly influencing key metabolic pathways,” Liu said. “This recommendation applies broadly, but it may be even more important for individuals at a higher genetic risk, such as those carrying two copies of the APOE4 genetic variant.”  A study limitation was that the cohort consisted of well-educated individuals of European ancestry. More research is needed in diverse populations.  In addition, although the study reveals important associations, genetics and metabolomics are not yet part of most clinical risk prediction models for Alzheimer’s disease. People often don’t know their APOE genetics. More work is needed to translate these findings into routine medical practice.  “In future research, we hope to explore whether targeting specific metabolites through diet or other interventions could provide a more personalized approach to reducing dementia risk,” Liu said.",1,2025-08-25,https://news.harvard.edu/gazette/story/2025/08/mediterranean-diet-offsets-genetic-risk-for-dementia-study-finds/?
EU Parliament backs new 2040 climate target,"The European Parliament on Thursday approved the EU’s plan to cut greenhouse gas emissions by 90% by 2040 compared with 1990 levels and allows up to 5% of that target to be met using international carbon credits, paving the way for the measure to be passed into EU law.   The plan falls short of what the EU’s scientific advisers said is needed to align with the 1.5 °C global warming limit, as it includes the carbon credit flexibility, but it is still more ambitious than the commitments of many major economies.   EU countries’ climate ministers had already backed the proposal ahead of the COP30 climate summit.   The Parliament passed the measure with a majority of 379 in favour, 248 against and 10 abstentions. Members also rejected a proposal from the far-right Patriots for Europe group to scrap the climate target.   The plan’s use of international carbon credits means actual emissions cuts required from EU industries could be effectively closer to 85% from 1990 levels.",1,2025-11-13,https://www.reuters.com/sustainability/cop/eu-parliament-backs-new-2040-climate-target-2025-11-13/?
Russians still banned as the track and field world championships open in Tokyo,"TOKYO (AP) — Sebastian Coe, the head of World Athletics, on Friday said the organization is sticking to its long-held position that Russian athletes won’t be allowed at the upcoming world championships and other big events until a peace settlement is reached in its war in Ukraine.  Track and field’s hard-line stance is an outlier among Olympic sports, many of which allowed Russians to compete as neutral athletes at the Paris Olympics last year, and also at some world championships.  Russians have been almost completely absent from major international track meets for about a decade, dating to when they were sanctioned as the result of a doping scandal and the subsequent coverup that engulfed the 2014 Winter Olympics in Sochi.  Not long after World Athletics lifted that ban in 2022, it enacted a new one related to Russia’s then-recent invasion of Ukraine.  “It’s pretty obvious that we want a full contingent,” Coe said on the eve of world championships, when asked if there were any changes to the Russia policy. “We need a settled position. We need a peaceful agreement before we can move off that landscape.”  The world championships will feature about 2,000 athletes from 200 countries. They’ll take place at Japan’s $1.4 billion National Stadium, which was built for the 2020 Tokyo Olympics. Those Games were delayed a year by the pandemic and eventually held in Tokyo — but without fans.  At those Olympics, World Athletics granted only 10 spots for Russians who competed as “Authorized Neutral Athletes.” Among them was Maria Lasitskene, who won the gold medal in high jump but has not competed in a major international event since.  “No, nothing has changed,” Coe said about the policy. “I hope to God that it does change -- not just for athletics -- because it’s an unsustainable situation.”",1,2025-09-12,https://apnews.com/article/russia-track-worlds-coe-ban-war-ukraine-04c055f3cbf0a00ffacfd478bf721ec9?
800 Miles on a Single Charge? China’s New Solid-State Battery Could Make It Happen,"Chinese automaker Chery has revealed a breakthrough solid-state battery module boasting 600 Wh/kg of energy density, nearly double that of today’s best lithium-ion EV packs. The company claims the technology could enable a driving range of up to 1,300 km (808 miles) on a single charge, setting a new benchmark in the race toward next-generation batteries.  The module was unveiled at Chery’s Global Innovation Conference in Wuhu, where the automaker detailed plans to begin pilot production in 2026 before ramping up to mass production in 2027. Using an in-situ polymerized solid electrolyte and a lithium-rich manganese cathode, the new design is said to deliver superior safety and energy density while resisting puncture and thermal runaway in lab tests.  Closing the Gap on Global Leaders Chery’s announcement positions it among the most ambitious players in the solid-state race. Other automakers are already advancing similar efforts: Toyota with its efforts for the first solid state battery due to release by 2027, targeting faster charging, greater longevity, and a new generation of lightweight electric models. Meanwhile, Mercedes with their efforts shows how German engineering is closing in from another front, with Mercedes demonstrating nearly 750 miles on a prototype EQS powered by a solid-state pack.  Chery’s approach could allow it to leapfrog both technologically and strategically. As China continues to dominate the global EV supply chain, a domestically developed 600 Wh/kg solution would solidify the country’s leadership in advanced energy storage, and could reshape expectations for affordability and range worldwide.  Why This Matters for the EV Market Solid-state batteries promise several key advantages: higher energy density, faster charging, improved safety, and greater durability. But they also pose major challenges in scaling and cost. Chery’s announcement, if realized, could dramatically reduce dependence on large battery packs and open new design possibilities for lighter, more efficient vehicles.  However, there’s a catch, infrastructure. Even if future EVs achieve 1,300 km of range, charging them efficiently will still depend on compatible networks. Most current vehicles can’t yet handle 600-kW charging speeds. Without matching progress on the grid and charging hardware, many of these range and speed benefits could remain theoretical.  A Glimpse Into the Electric Future If Chery can move from prototype to production as promised, it would mark one of the most significant energy density leaps in EV history. The company’s 1,300 km claim still awaits real-world verification, but it underscores the direction the industry is heading, to a future where range anxiety, charging downtime, and safety concerns may all become relics of the past.",1,2025-10-25,https://www.autoblog.com/news/800-miles-on-a-single-charge-chinas-new-solid-state-battery-could-make-it-happen?
UN chief urges countries to implement weather disaster warning systems,"UN Secretary-General Antonio Guterres urged countries on Wednesday to implement disaster warning systems to protect people against extreme weather, saying no country was safe from the effects of global warming.   “Every one of the last 10 years has been the hottest in history. Ocean heat is breaking records while decimating ecosystems. And no country is safe from fires, floods, storms and heatwaves,” he told delegates at a U.N. World Meteorological Organization conference in Geneva marking the agency’s 75th year.   Guterres urged countries to mobilize funding to enable a global surveillance system, known as Early Warning Systems, to protect people from extreme weather.   “They give farmers the power to protect their crops and livestock. Enable families to evacuate safely. And protect entire communities from devastation,” Guterres said.   He added that getting notice 24 hours before a hazardous event can reduce damage by up to 30%.   Over 60% of countries have introduced multi-hazard Early Warning Systems since Guterres launched an initiative in 2022 for all countries to have these in place by 2027.   In the past five decades, weather, water and climate-related hazards have killed more than 2 million people, with 90% of those deaths occurring in developing countries, the World Meteorological Organization said.   Guterres said developing countries were hindered in investing in warning systems by slowing growth and “crushing debt burdens.”   He urged countries meeting at next month’s U.N. Climate Conference in Brazil to agree a plan to unlock $1.3 trillion annually in climate finance for developing countries by 2035, and to deliver bold new national climate action plans to reduce greenhouse gas emissions over the next decade and limit global temperature rise to 1.5°C.",1,2025-10-22,https://www.reuters.com/sustainability/cop/global-warming-is-pushing-planet-brink-says-un-secretary-general-2025-10-22/?
